P V      15 11  1.721E-10  0.5429  2.848E+02  3.975E+07
P XIII   15  3  5.876E-10  0.6354  1.341E+03  5.292E+07
P XIV    15  2  9.142E-10  0.6961  8.682E+02  1.335E+08
P XV     15  1  1.586E-09  0.7560  4.327E+02  1.534E+08
S VI     16 11  3.502E-10  0.6266  1.532E+02  1.755E+07
S XIV    16  3  6.571E-10  0.6400  1.452E+03  5.796E+07
S XV     16  2  9.692E-10  0.6945  1.017E+03  1.517E+08
S XVI    16  1  1.729E-09  0.7568  4.725E+02  1.746E+08
ClVII    17 11  2.502E-10  0.5580  5.303E+02  4.558E+07
ClXV     17  3  7.076E-10  0.6397  1.653E+03  6.555E+07
ClXVI    17  2  1.021E-09  0.6932  1.184E+03  1.695E+08
ClXVII   17  1  1.791E-09  0.7565  5.591E+02  1.972E+08
ArVIII   18 11  2.862E-10  0.5621  7.002E+02  4.885E+07
ArXVI    18  3  7.538E-10  0.6388  1.889E+03  7.306E+07
ArXVII   18  2  1.087E-09  0.6936  1.329E+03  1.880E+08
ArXVIII  18  1  1.913E-09  0.7567  6.175E+02  2.212E+08
K IX     19 11  2.757E-10  0.5364  1.204E+03  7.013E+07
K XVII   19  3  8.182E-10  0.6411  2.044E+03  8.057E+07
K XVIII  19  2  1.145E-09  0.6921  1.503E+03  2.098E+08
K XIX    19  1  2.033E-09  0.7569  6.797E+02  2.463E+08
CaX      20 11  5.273E-10  0.6281  5.329E+02  3.188E+07
CaXVIII  20  3  8.577E-10  0.6403  2.334E+03  8.850E+07
CaXIX    20  2  1.179E-09  0.6893  1.757E+03  2.344E+08
CaXX     20  1  2.129E-09  0.7570  7.591E+02  2.739E+08
ScXI     21 11  3.890E-10  0.5645  1.391E+03  6.295E+07
ScXIX    21  3  9.162E-10  0.6413  2.543E+03  9.690E+07
ScXX     21  2  1.265E-09  0.6902  1.877E+03  2.555E+08
ScXXI    21  1  2.262E-09  0.7578  8.186E+02  3.000E+08
TiXII    22 11  4.207E-10  0.5646  1.688E+03  6.872E+07
TiXX     22  3  9.844E-10  0.6440  2.708E+03  1.044E+08
TiXXI    22  2  1.322E-09  0.6885  2.092E+03  2.829E+08
TiXXII   22  1  2.370E-09  0.7574  9.002E+02  3.307E+08
V XIII   23 11  4.605E-10  0.5659  1.949E+03  7.419E+07
V XXI    23  3  1.020E-09  0.6427  3.057E+03  1.140E+08
V XXII   23  2  1.375E-09  0.6885  2.321E+03  3.056E+08
V XXIII  23  1  2.415E-09  0.7565  1.032E+03  3.635E+08
CrXIV    24 11  4.975E-10  0.5655  2.257E+03  8.072E+07
CrXXII   24  3  1.091E-09  0.6445  3.225E+03  1.229E+08
CrXXIII  24  2  1.422E-09  0.6874  2.589E+03  3.336E+08
CrXXIV   24  1  2.537E-09  0.7571  1.108E+03  3.954E+08
MnXV     25 11  5.349E-10  0.5658  2.577E+03  8.710E+07
MnXXIII  25  3  1.151E-09  0.6451  3.461E+03  1.334E+08
MnXXIV   25  2  1.488E-09  0.6867  2.802E+03  3.623E+08
MnXXV    25  1  2.618E-09  0.7565  1.225E+03  4.307E+08
FeXVI    26 11  7.688E-10  0.6173  1.653E+03  6.161E+07
FeXXIV   26  3  1.198E-09  0.6443  3.789E+03  1.437E+08
FeXXV    26  2  1.542E-09  0.6859  3.073E+03  3.926E+08
FeXXVI   26  1  2.735E-09  0.7568  1.314E+03  4.659E+08
CoXVII   27 11  5.850E-10  0.5598  3.538E+03  1.052E+08
CoXXV    27  3  1.211E-09  0.6406  4.357E+03  1.572E+08
CoXXVI   27  2  1.589E-09  0.6846  3.373E+03  4.267E+08
CoXXVII  27  1  2.809E-09  0.7565  1.444E+03  5.042E+08
NiXVIII  28 11  6.347E-10  0.5631  3.780E+03  1.116E+08
NiXXVI   28  3  1.288E-09  0.6440  4.506E+03  1.651E+08
NiXXVII  28  2  1.676E-09  0.6861  3.530E+03  4.538E+08
NiXXVIII 28  1  3.002E-09  0.7581  1.467E+03  5.409E+08
CuXIX    29 11  6.619E-10  0.5602  4.322E+03  1.210E+08
CuXXVII  29  3  1.372E-09  0.6472  4.627E+03  1.740E+08
CuXXVIII 29  2  1.686E-09  0.6824  4.031E+03  4.948E+08
CuXXIX   29  1  3.022E-09  0.7564  1.666E+03  5.855E+08
ZnXX     30 11  7.002E-10  0.5612  4.726E+03  1.287E+08
ZnXXVIII 30  3  1.412E-09  0.6454  5.053E+03  1.891E+08
ZnXXIX   30  2  1.758E-09  0.6834  4.254E+03  5.258E+08
ZnXXX    30  1  3.127E-09  0.7567  1.779E+03  6.246E+08
